Year,Name
1969,Joan Keller Stern
1977,Beverly ShafferYuki Yoshida
1979,Sarah Pillsbury
1981,Shelley Levinson
1983,Janice L. Platt
1987,Jana Sue Memel
1994[note 1],Ruth Kenley-Letts
