Year,Name
1940,Anne Bauchens
1958,Adrienne Fazan
1962,Anne V. Coates
1969,Françoise Bonnot
1975,Verna Fields
1977,Marcia Lucas
1980,Thelma Schoonmaker
1983,Lisa Fruchtman
1986,Claire Simpson
1987,Gabriella Cristiani
2006,Thelma Schoonmaker
2009,Chris Innis
2015,Margaret Sixel
