Year,Name
1929-30[note 1],Frances Marion
1932[note 2],Frances Marion
1938[note 2],Eleanore Griffin
1946,Muriel Box
1955,Sonya Levien
1978,Nancy Dowd
1985,Pamela Wallace
1991,Callie Khouri
1993,Jane Campion
2003,Sofia Coppola
2007,Diablo Cody
2020,Emerald Fennell
